                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3736,                 3.6649,                 1.3137,                0.20754,                0.48977,                0.25624,                0.20005,                0.84111,                 2.2667,                 1.0119,             8.4598e-05,             8.4598e-05,             8.4598e-05
                      2,                0.94588,                 1.8093,                 1.0805,                0.83527,                0.84645,                0.91502,                0.72235,                0.78477,                0.89452,                 1.0588,             0.00016657,             0.00016657,             0.00016657
                      3,                0.85695,                 1.1619,                 1.0463,                0.95045,                0.95453,                  0.991,                0.81456,                0.70373,                0.59383,                0.97446,             0.00024516,             0.00024516,             0.00024516
                      4,                 0.8008,                0.93704,                 1.0137,                0.97482,                0.98012,                0.99347,                0.83408,                0.64614,                0.50491,                0.94676,             0.00024079,             0.00024079,             0.00024079
                      5,                0.75964,                0.82938,                 1.0001,                0.98244,                0.99096,                0.99472,                0.83952,                0.63418,                0.44003,                0.92506,             0.00024079,             0.00024079,             0.00024079
                      6,                0.73999,                0.76424,                0.98324,                 0.9946,                0.99644,                0.99497,                0.84958,                0.61832,                0.38931,                0.92483,             0.00023572,             0.00023572,             0.00023572
                      7,                0.72375,                 0.7159,                0.97626,                0.99424,                0.99595,                0.99491,                0.84581,                0.63032,                0.38706,                0.91837,             0.00023066,             0.00023066,             0.00023066
                      8,                0.71776,                0.69537,                0.97079,                0.99715,                0.99735,                  0.995,                0.84679,                 0.6346,                0.36335,                 0.9234,             0.00022559,             0.00022559,             0.00022559
                      9,                0.68266,                0.65784,                0.96267,                0.99332,                 0.9937,                0.99496,                0.87306,                0.54108,                0.35046,                0.88713,             0.00022052,             0.00022052,             0.00022052
                     10,                0.67336,                0.63752,                0.95822,                0.99482,                0.99654,                0.99499,                0.87624,                0.53219,                0.33412,                0.88179,             0.00021545,             0.00021545,             0.00021545
                     11,                0.66679,                0.62583,                 0.9508,                 0.9943,                0.99658,                0.99477,                  0.867,                0.56323,                0.32542,                0.89175,             0.00021038,             0.00021038,             0.00021038
                     12,                0.65071,                0.61249,                 0.9481,                  0.995,                0.99676,                0.99499,                0.88318,                0.50407,                0.30828,                0.87498,             0.00020531,             0.00020531,             0.00020531
                     13,                0.63708,                 0.5906,                0.94028,                0.99578,                0.99859,                0.99499,                0.88076,                0.52292,                0.30556,                0.86768,             0.00020024,             0.00020024,             0.00020024
                     14,                0.63568,                0.57666,                 0.9393,                0.99564,                0.99826,                0.99497,                0.89964,                0.45613,                0.28161,                0.85479,             0.00019517,             0.00019517,             0.00019517
                     15,                0.62456,                0.56453,                0.93577,                0.99787,                0.99953,                0.99479,                0.88726,                0.49991,                0.28965,                0.88178,             0.00019011,             0.00019011,             0.00019011
                     16,                0.59885,                0.55991,                0.92695,                 0.9971,                0.99808,                  0.995,                 0.8857,                0.50643,                0.28797,                0.86416,             0.00018504,             0.00018504,             0.00018504
                     17,                0.60413,                0.54493,                0.93066,                0.99745,                0.99832,                0.99499,                0.88047,                0.52307,                0.29483,                0.89935,             0.00017997,             0.00017997,             0.00017997
                     18,                0.59354,                0.53338,                0.92053,                 0.9976,                0.99903,                0.99495,                0.88891,                0.49203,                0.27488,                0.86865,              0.0001749,              0.0001749,              0.0001749
                     19,                0.59574,                0.52548,                0.92314,                0.99792,                0.99913,                  0.995,                  0.908,                0.43168,                0.25559,                0.84376,             0.00016983,             0.00016983,             0.00016983
                     20,                 0.5784,                0.51618,                0.91502,                0.99788,                0.99967,                  0.995,                 0.9023,                0.45312,                0.25866,                0.84338,             0.00016476,             0.00016476,             0.00016476
                     21,                0.57658,                0.51264,                0.91771,                0.99763,                0.99864,                 0.9948,                0.89178,                0.49036,                  0.268,                0.87431,             0.00015969,             0.00015969,             0.00015969
                     22,                0.56232,                0.50644,                0.91653,                0.99774,                0.99849,                0.99499,                0.90735,                0.43734,                 0.2527,                0.84149,             0.00015462,             0.00015462,             0.00015462
                     23,                0.54884,                 0.4897,                0.90787,                0.99792,                0.99948,                  0.995,                0.90467,                0.44908,                0.24861,                 0.8375,             0.00014956,             0.00014956,             0.00014956
                     24,                0.54442,                0.48675,                0.90711,                0.99782,                0.99913,                  0.995,                0.91372,                0.41878,                0.24139,                0.83447,             0.00014449,             0.00014449,             0.00014449
                     25,                0.54542,                0.47989,                 0.9031,                0.99791,                0.99915,                0.99476,                 0.9161,                0.40879,                0.24039,                0.83311,             0.00013942,             0.00013942,             0.00013942
                     26,                0.53896,                0.47671,                0.90401,                0.99797,                 0.9986,                0.99499,                0.91165,                0.41993,                0.24135,                0.83134,             0.00013435,             0.00013435,             0.00013435
                     27,                0.53021,                0.47408,                0.90271,                0.99743,                0.99914,                  0.995,                0.92088,                0.39967,                0.23393,                0.82647,             0.00012928,             0.00012928,             0.00012928
                     28,                0.51911,                0.46516,                0.89679,                0.99863,                0.99974,                0.99483,                0.91517,                0.42138,                0.23419,                0.83552,             0.00012421,             0.00012421,             0.00012421
                     29,                0.51561,                0.46297,                0.89558,                0.99831,                0.99919,                  0.995,                0.92702,                0.37693,                0.22566,                0.82218,             0.00011914,             0.00011914,             0.00011914
                     30,                0.50598,                0.45527,                0.89546,                0.99824,                0.99907,                  0.995,                0.91977,                0.40384,                0.23214,                0.82558,             0.00011407,             0.00011407,             0.00011407
                     31,                0.51023,                0.44935,                0.89663,                0.99828,                0.99899,                  0.995,                0.91783,                0.41177,                0.23249,                0.82726,               0.000109,               0.000109,               0.000109
                     32,                0.49591,                0.43604,                0.89316,                0.99836,                0.99954,                  0.995,                0.92771,                0.38084,                 0.2213,                0.82512,             0.00010394,             0.00010394,             0.00010394
                     33,                0.50002,                0.43345,                0.89274,                0.99892,                0.99939,                  0.995,                0.92897,                0.37755,                0.21852,                 0.8214,             9.8867e-05,             9.8867e-05,             9.8867e-05
                     34,                0.49177,                0.42841,                0.88988,                0.99816,                0.99957,                0.99477,                0.93421,                0.35978,                0.21541,                0.81896,             9.3798e-05,             9.3798e-05,             9.3798e-05
                     35,                0.48428,                0.42457,                0.88921,                0.99843,                0.99969,                  0.995,                0.92854,                0.38529,                0.22106,                0.82766,              8.873e-05,              8.873e-05,              8.873e-05
                     36,                0.47894,                0.42023,                0.88853,                0.99821,                 0.9999,                0.99496,                0.93383,                0.36717,                0.21388,                0.81881,             8.3661e-05,             8.3661e-05,             8.3661e-05
                     37,                0.47507,                0.41873,                0.88568,                0.99848,                0.99967,                  0.995,                0.93215,                0.37405,                0.21155,                 0.8218,             7.8592e-05,             7.8592e-05,             7.8592e-05
                     38,                0.48484,                0.42162,                0.88756,                0.99846,                0.99961,                0.99478,                0.93154,                0.37363,                0.21249,                 0.8193,             7.3523e-05,             7.3523e-05,             7.3523e-05
