                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1084,                 2.2227,                 1.0175,                0.84533,                0.77977,                0.85598,                0.58261,                 1.1349,                 1.0572,                 1.0166,               0.070151,              0.0033166,              0.0033166
                      1,                 1.0275,                0.72901,                0.96517,                0.85408,                0.88796,                0.91958,                0.62573,                 1.1175,                 0.7955,                 1.0005,               0.040019,              0.0065182,              0.0065182
                      2,                 1.0851,                0.77477,                0.98302,                0.77009,                0.79201,                0.82057,                0.55135,                 1.2229,                 1.0635,                 1.0898,              0.0097554,              0.0095879,              0.0095879
                      3,                 1.1363,                 0.8096,                  1.013,                0.86274,                0.85481,                0.89808,                0.59371,                 1.1545,                0.85668,                 1.0559,               0.009406,               0.009406,               0.009406
                      4,                  1.115,                0.77197,                 1.0142,                0.83144,                 0.7926,                 0.8542,                0.56556,                 1.2266,                0.92609,                 1.0889,               0.009406,               0.009406,               0.009406
                      5,                 1.0766,                0.71564,                 1.0055,                0.87621,                0.80825,                0.86142,                0.57456,                 1.1765,                0.94878,                 1.0945,               0.009208,               0.009208,               0.009208
                      6,                 1.0468,                0.67022,                 1.0077,                0.90444,                0.90212,                0.92475,                0.61417,                 1.1909,                0.76363,                 1.0846,                0.00901,                0.00901,                0.00901
                      7,                 1.0124,                0.63803,                0.98676,                 0.8843,                0.77305,                0.86005,                0.58109,                 1.1691,                0.95956,                 1.1108,               0.008812,               0.008812,               0.008812
                      8,                 1.0095,                0.63464,                0.99181,                 0.8773,                0.92088,                0.94396,                0.67263,                 1.0536,                0.63217,                 1.0787,               0.008614,               0.008614,               0.008614
                      9,                0.99315,                0.61053,                0.98782,                0.92963,                0.92674,                0.96661,                0.70431,                 1.0026,                0.57632,                 1.0342,               0.008416,               0.008416,               0.008416
                     10,                0.96649,                0.58542,                0.97742,                0.91392,                0.91793,                0.95405,                0.68909,                 1.0125,                0.61466,                 1.0426,               0.008218,               0.008218,               0.008218
                     11,                 0.9602,                0.57263,                 0.9824,                 0.8838,                 0.8956,                0.94026,                0.68227,                 0.9987,                  0.614,                 1.0483,                0.00802,                0.00802,                0.00802
                     12,                0.94886,                0.56525,                0.97534,                0.92376,                0.90926,                0.96349,                0.69826,                0.97955,                0.57391,                 1.0303,               0.007822,               0.007822,               0.007822
                     13,                0.93748,                0.55398,                0.97853,                0.90176,                0.94336,                0.96832,                0.71207,                0.97054,                0.53946,                 1.0377,               0.007624,               0.007624,               0.007624
                     14,                0.93176,                0.54505,                0.97768,                0.91803,                0.91436,                0.95609,                0.70439,                 1.0012,                0.58094,                 1.0463,               0.007426,               0.007426,               0.007426
                     15,                0.91972,                0.54501,                0.96435,                0.94197,                0.92673,                0.96862,                0.72451,                0.94035,                 0.5338,                 1.0115,               0.007228,               0.007228,               0.007228
                     16,                0.91661,                0.52219,                0.97261,                0.92242,                0.95036,                0.97053,                0.72549,                0.95391,                0.53418,                 1.0236,                0.00703,                0.00703,                0.00703
                     17,                0.90711,                0.51488,                0.96754,                 0.9345,                  0.931,                0.96758,                0.73345,                 0.9472,                 0.5266,                 1.0291,               0.006832,               0.006832,               0.006832
                     18,                0.90652,                0.50964,                0.96678,                0.93603,                0.94454,                0.97409,                0.72735,                0.93263,                0.50393,                 1.0169,               0.006634,               0.006634,               0.006634
                     19,                0.89134,                0.50837,                0.95552,                0.91532,                0.90808,                0.92185,                0.66041,                 1.0445,                0.68671,                 1.0514,               0.006436,               0.006436,               0.006436
                     20,                0.88171,                0.49126,                0.95024,                 0.9213,                0.95491,                0.97187,                0.75356,                0.88686,                0.47583,                0.99831,               0.006238,               0.006238,               0.006238
                     21,                0.86642,                0.48452,                  0.944,                0.93595,                0.95269,                0.97128,                0.73806,                0.92162,                0.49478,                0.99619,                0.00604,                0.00604,                0.00604
                     22,                0.87956,                0.48281,                0.94886,                0.91793,                0.95432,                0.97157,                0.73881,                0.93201,                0.48955,                 1.0171,               0.005842,               0.005842,               0.005842
                     23,                0.86135,                0.47081,                0.94181,                0.92729,                 0.9478,                0.97119,                 0.7405,                 0.9182,                0.47392,                 1.0171,               0.005644,               0.005644,               0.005644
                     24,                0.86149,                0.47722,                0.94473,                0.93114,                0.94853,                0.97393,                0.75184,                0.90058,                0.46903,                0.99548,               0.005446,               0.005446,               0.005446
                     25,                0.85586,                0.47234,                0.94629,                0.94244,                0.93477,                0.97364,                0.75548,                0.88455,                0.46707,                0.98698,               0.005248,               0.005248,               0.005248
                     26,                0.84756,                0.45954,                0.94012,                0.94457,                 0.9429,                0.97773,                0.75979,                0.90274,                0.45336,                 1.0023,                0.00505,                0.00505,                0.00505
                     27,                0.84286,                0.45674,                0.93725,                0.93179,                0.95514,                0.97659,                0.75418,                0.90762,                0.46173,                 1.0081,               0.004852,               0.004852,               0.004852
                     28,                0.83447,                 0.4513,                0.94326,                0.90676,                0.96819,                0.97498,                0.75379,                0.89327,                0.45483,                0.99733,               0.004654,               0.004654,               0.004654
                     29,                0.82486,                0.44693,                0.93682,                 0.9345,                0.95514,                0.97708,                0.75554,                0.90833,                0.45169,                 1.0025,               0.004456,               0.004456,               0.004456
                     30,                0.81724,                0.43905,                0.92571,                0.93202,                0.95061,                0.97498,                0.75527,                0.89732,                0.45145,                 1.0121,               0.004258,               0.004258,               0.004258
                     31,                0.80656,                0.43225,                0.92532,                 0.9469,                0.94546,                 0.9729,                0.75481,                0.87802,                0.44329,                 1.0053,                0.00406,                0.00406,                0.00406
                     32,                0.81417,                0.42989,                 0.9351,                0.92904,                0.96104,                0.97829,                0.76751,                0.88606,                0.43705,                0.98641,               0.003862,               0.003862,               0.003862
                     33,                0.80788,                0.42249,                0.92793,                0.94575,                0.94617,                0.97508,                0.76154,                 0.8705,                0.43607,                0.98831,               0.003664,               0.003664,               0.003664
                     34,                0.79428,                0.41996,                0.92152,                 0.9456,                 0.9499,                0.97874,                0.77095,                0.87032,                0.42597,                0.99713,               0.003466,               0.003466,               0.003466
                     35,                0.79214,                0.41725,                0.92081,                0.94738,                0.94943,                0.97856,                0.77083,                0.87423,                0.42744,                0.99269,               0.003268,               0.003268,               0.003268
                     36,                0.79165,                 0.4092,                0.92282,                0.94581,                0.95514,                0.97902,                0.77098,                 0.8639,                0.41542,                0.99026,                0.00307,                0.00307,                0.00307
                     37,                0.78034,                0.40656,                0.92158,                0.94182,                0.95074,                0.97833,                0.77155,                0.86303,                0.42326,                0.99261,               0.002872,               0.002872,               0.002872
                     38,                0.77998,                 0.4014,                0.91967,                0.93489,                0.96041,                0.97377,                0.76639,                0.86942,                0.42423,                0.98881,               0.002674,               0.002674,               0.002674
                     39,                 0.7635,                0.39239,                0.91071,                0.94499,                0.95432,                0.97978,                0.77169,                0.85136,                0.41668,                0.97776,               0.002476,               0.002476,               0.002476
                     40,                0.77142,                0.38499,                0.92554,                0.94156,                0.95759,                0.97892,                0.77373,                0.86881,                0.42148,                0.99088,               0.002278,               0.002278,               0.002278
                     41,                 0.7727,                0.38052,                0.92324,                0.93101,                 0.9576,                0.97974,                0.76252,                 0.8823,                 0.4322,                 1.0009,                0.00208,                0.00208,                0.00208
                     42,                0.76532,                0.37906,                0.91896,                0.94954,                0.94943,                 0.9787,                0.77692,                0.85645,                0.41182,                0.98042,               0.001882,               0.001882,               0.001882
                     43,                0.75308,                0.36632,                0.90933,                0.93926,                 0.9633,                0.98025,                0.78176,                0.85234,                0.40524,                0.98044,               0.001684,               0.001684,               0.001684
                     44,                0.74456,                0.35704,                0.90883,                0.95542,                 0.9478,                0.97929,                0.77631,                0.84743,                0.40662,                0.96835,               0.001486,               0.001486,               0.001486
                     45,                 0.7381,                0.35484,                0.90159,                0.94709,                0.95595,                0.97783,                0.78097,                0.85532,                0.40275,                0.98804,               0.001288,               0.001288,               0.001288
                     46,                0.72699,                 0.3474,                0.90421,                0.95289,                0.95697,                0.97984,                0.78524,                0.84662,                0.39264,                0.97673,                0.00109,                0.00109,                0.00109
