                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.098,                 2.3393,                 1.0456,                0.86473,                  0.854,                0.88576,                0.62876,                 1.1109,                0.82073,                  1.037,               0.070075,               0.003325,               0.003325
                      1,                 1.0886,                0.79083,                 1.0271,                0.87318,                0.84804,                0.90321,                0.61342,                 1.1201,                0.93518,                   1.04,               0.039416,              0.0059991,              0.0059991
                      2,                 1.1255,                0.84194,                 1.0521,                0.86273,                0.81403,                0.88658,                0.59158,                 1.2089,                0.89423,                 1.1028,               0.008097,              0.0080133,              0.0080133
                      3,                 1.1254,                0.83611,                 1.0613,                0.87412,                0.90375,                0.92471,                0.63162,                 1.1142,                0.76661,                 1.0619,                0.00703,                0.00703,                0.00703
                      4,                 1.1084,                0.77997,                 1.0474,                0.88407,                0.85219,                0.91339,                0.63014,                 1.1183,                0.86512,                 1.0532,                0.00703,                0.00703,                0.00703
                      5,                 1.0753,                0.71044,                 1.0291,                0.91289,                0.89478,                0.94232,                0.65814,                 1.0675,                0.71437,                 1.0305,                0.00604,                0.00604,                0.00604
                      6,                 1.0369,                0.66128,                 1.0186,                0.90193,                0.90946,                0.94869,                0.66881,                   1.08,                0.64795,                 1.0204,                0.00505,                0.00505,                0.00505
                      7,                0.99193,                0.61333,                0.99045,                0.91861,                0.92059,                0.96002,                 0.7041,                0.97834,                0.59391,                0.98998,                0.00406,                0.00406,                0.00406
                      8,                  0.948,                0.56409,                0.97461,                0.92825,                0.94979,                0.97028,                0.70921,                0.97202,                0.54673,                0.97677,                0.00307,                0.00307,                0.00307
                      9,                0.91183,                0.51411,                0.95382,                0.92615,                0.96003,                0.97311,                0.74253,                0.91519,                0.51135,                0.95926,                0.00208,                0.00208,                0.00208
