                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92311,                0.52576,                0.92842,                0.92847,                0.94372,                0.97389,                0.73082,                 0.9346,                0.50812,                0.95017,               0.070075,               0.003325,               0.003325
                      1,                0.91276,                0.52353,                0.92787,                    0.9,                0.95024,                0.96527,                 0.7172,                0.94433,                0.54728,                0.94364,               0.039746,              0.0063287,              0.0063287
                      2,                0.94667,                0.54889,                0.93582,                0.92022,                0.93137,                0.96131,                0.69262,                 1.0006,                 0.6218,                0.96176,              0.0090862,              0.0090025,              0.0090025
                      3,                0.98884,                   0.61,                0.95273,                0.91889,                 0.9323,                0.96056,                0.67728,                 1.0381,                0.60419,                0.96441,               0.008515,               0.008515,               0.008515
                      4,                 1.0086,                0.61985,                 0.9604,                0.90003,                0.92007,                0.94704,                0.68043,                  1.019,                0.60996,                0.97078,               0.008515,               0.008515,               0.008515
                      5,                0.98953,                0.60748,                0.95117,                 0.9049,                 0.9168,                0.95118,                0.67821,                 1.0189,                0.63905,                0.97694,                0.00802,                0.00802,                0.00802
                      6,                  0.981,                0.59144,                0.95094,                 0.9198,                0.92333,                0.96281,                 0.6864,                 1.0116,                0.61409,                0.97853,               0.007525,               0.007525,               0.007525
                      7,                0.95822,                0.57197,                0.93906,                0.91237,                0.95188,                0.96609,                0.70359,                0.94841,                0.57242,                0.93423,                0.00703,                0.00703,                0.00703
                      8,                 0.9448,                0.55391,                0.93519,                0.92159,                0.94907,                0.96857,                0.71874,                0.92007,                0.54761,                0.93171,               0.006535,               0.006535,               0.006535
                      9,                0.92799,                0.53477,                0.92996,                0.92766,                0.94135,                0.97106,                0.72139,                0.93206,                0.56935,                0.93903,                0.00604,                0.00604,                0.00604
                     10,                0.92132,                0.53278,                0.93033,                 0.9388,                0.94372,                0.96979,                 0.7217,                0.96026,                0.56246,                0.94634,               0.005545,               0.005545,               0.005545
                     11,                0.91016,                0.51285,                0.92183,                0.91417,                0.94861,                0.97282,                0.72737,                0.92465,                0.54615,                0.93255,                0.00505,                0.00505,                0.00505
                     12,                0.90006,                0.49808,                0.92271,                0.93087,                0.93556,                0.96773,                0.72402,                0.94962,                0.53579,                0.95411,               0.004555,               0.004555,               0.004555
                     13,                0.89248,                0.48938,                0.91952,                0.93453,                0.93801,                0.96861,                0.72916,                0.92956,                0.52555,                  0.932,                0.00406,                0.00406,                0.00406
                     14,                0.87336,                 0.4746,                0.91521,                 0.9197,                0.95294,                0.97146,                0.73681,                  0.923,                 0.5253,                0.94425,               0.003565,               0.003565,               0.003565
                     15,                0.85836,                0.46549,                0.91537,                0.94364,                 0.9423,                0.97415,                0.74748,                0.90454,                0.50306,                0.93308,                0.00307,                0.00307,                0.00307
                     16,                0.83614,                0.44049,                0.90449,                0.92869,                  0.956,                0.97436,                0.75064,                0.88496,                0.48975,                0.92791,               0.002575,               0.002575,               0.002575
                     17,                 0.8238,                 0.4302,                0.90292,                0.94111,                0.95152,                0.97987,                0.75776,                0.87881,                0.46987,                0.92592,                0.00208,                0.00208,                0.00208
                     18,                0.81727,                0.41562,                0.90203,                0.95183,                0.95351,                0.97869,                0.76644,                0.87607,                0.46771,                0.92224,               0.001585,               0.001585,               0.001585
                     19,                0.79407,                0.39119,                 0.8932,                0.94823,                0.94943,                0.97802,                0.76742,                0.85572,                  0.448,                0.91408,                0.00109,                0.00109,                0.00109
